date,city,rainfall
1/18/2018,雲林縣,0
1/18/2018,新北市,0.3
1/18/2018,新竹縣,0.09
1/18/2018,嘉義縣,0.09
1/18/2018,彰化縣,0
1/18/2018,臺中市,0
1/18/2018,臺北市,0.09
1/18/2018,臺東縣,0.09
1/18/2018,臺南市,0
1/18/2018,澎湖縣,0.09
1/19/2018,宜蘭縣,15
1/19/2018,花蓮縣,4
1/19/2018,金門縣,1.8
1/19/2018,南投縣,5.5
1/19/2018,屏東縣,0
1/19/2018,苗栗縣,1.5
1/19/2018,桃園市,9
1/19/2018,高雄市,0.09
1/19/2018,基隆市,43
1/19/2018,連江縣,0
1/19/2018,雲林縣,1
1/19/2018,新北市,11
1/19/2018,新竹縣,8.5
1/19/2018,嘉義縣,0
1/19/2018,彰化縣,3.5
1/19/2018,臺中市,0.5
1/19/2018,臺北市,12.5
1/19/2018,臺東縣,0.09
1/19/2018,臺南市,0
1/19/2018,澎湖縣,0.5
1/20/2018,宜蘭縣,7.7
1/20/2018,花蓮縣,0.5
1/20/2018,金門縣,0
1/20/2018,南投縣,0
1/20/2018,屏東縣,0
1/20/2018,苗栗縣,0
1/20/2018,桃園市,0.5
1/20/2018,高雄市,0
1/20/2018,基隆市,17.5
1/20/2018,連江縣,0
1/20/2018,雲林縣,0
1/20/2018,新北市,1
1/20/2018,新竹縣,0
1/20/2018,嘉義縣,0
1/20/2018,彰化縣,0
1/20/2018,臺中市,0
1/20/2018,臺北市,2
1/20/2018,臺東縣,0
1/20/2018,臺南市,0
1/20/2018,澎湖縣,0
1/21/2018,宜蘭縣,14.5
1/21/2018,花蓮縣,0.09
1/21/2018,金門縣,0
1/21/2018,南投縣,0
1/21/2018,屏東縣,0
1/21/2018,苗栗縣,0
1/21/2018,桃園市,0
1/21/2018,高雄市,0
1/21/2018,基隆市,15.5
1/21/2018,連江縣,0
1/21/2018,雲林縣,0
1/21/2018,新北市,0
1/21/2018,新竹縣,0
1/21/2018,嘉義縣,0
1/21/2018,彰化縣,0
1/21/2018,臺中市,0
1/21/2018,臺北市,0
1/21/2018,臺東縣,0
1/21/2018,臺南市,0
1/21/2018,澎湖縣,0
1/22/2018,宜蘭縣,0.5
1/22/2018,花蓮縣,0.5
1/22/2018,金門縣,0
1/22/2018,南投縣,5.5
1/22/2018,屏東縣,0
1/22/2018,苗栗縣,3
1/22/2018,桃園市,0.5
1/22/2018,高雄市,0
1/22/2018,基隆市,0.5
1/22/2018,連江縣,0.2
1/22/2018,雲林縣,0.5
1/22/2018,新北市,1
1/22/2018,新竹縣,0
1/22/2018,嘉義縣,0.09
1/22/2018,彰化縣,2
1/22/2018,臺中市,4.5
1/22/2018,臺北市,1
1/22/2018,臺東縣,0.09
1/22/2018,臺南市,0.09
1/22/2018,澎湖縣,0
1/23/2018,宜蘭縣,1.4
1/23/2018,花蓮縣,0
1/23/2018,金門縣,0
1/23/2018,南投縣,0
1/23/2018,屏東縣,0
1/23/2018,苗栗縣,0
1/23/2018,桃園市,0.5
1/23/2018,高雄市,0
1/23/2018,基隆市,10.5
1/23/2018,連江縣,0
1/23/2018,雲林縣,0
1/23/2018,新北市,0
1/23/2018,新竹縣,0
1/23/2018,嘉義縣,0
1/23/2018,彰化縣,0
1/23/2018,臺中市,0
1/23/2018,臺北市,0
1/23/2018,臺東縣,0.1
1/23/2018,臺南市,0
1/23/2018,澎湖縣,0
1/24/2018,宜蘭縣,30.2
1/24/2018,花蓮縣,1
1/24/2018,金門縣,0
1/24/2018,南投縣,0
1/24/2018,屏東縣,0
1/24/2018,苗栗縣,0
1/24/2018,桃園市,0
1/24/2018,高雄市,0
1/24/2018,基隆市,6
1/24/2018,連江縣,0
1/24/2018,雲林縣,0
1/24/2018,新北市,0
1/24/2018,新竹縣,0
1/24/2018,嘉義縣,0
1/24/2018,彰化縣,0
1/24/2018,臺中市,0
1/24/2018,臺北市,0
1/24/2018,臺東縣,0
1/24/2018,臺南市,0
1/24/2018,澎湖縣,0
1/25/2018,宜蘭縣,16.5
1/25/2018,花蓮縣,0
1/25/2018,金門縣,0
1/25/2018,南投縣,0
1/25/2018,屏東縣,0
1/25/2018,苗栗縣,0
1/25/2018,桃園市,0
1/25/2018,高雄市,0
1/25/2018,基隆市,8.5
1/25/2018,連江縣,0
1/25/2018,雲林縣,0
1/25/2018,新北市,0
1/25/2018,新竹縣,0
1/25/2018,嘉義縣,0
1/25/2018,彰化縣,0
1/25/2018,臺中市,0
1/25/2018,臺北市,0
1/25/2018,臺東縣,0
1/25/2018,臺南市,0
1/25/2018,澎湖縣,0
1/26/2018,宜蘭縣,5.7
1/26/2018,花蓮縣,0
1/26/2018,金門縣,0
1/26/2018,南投縣,0
1/26/2018,屏東縣,0
1/26/2018,苗栗縣,0
1/26/2018,桃園市,1
1/26/2018,高雄市,0
1/26/2018,基隆市,60
1/26/2018,連江縣,0.1
1/26/2018,雲林縣,0
1/26/2018,新北市,0.3
1/26/2018,新竹縣,0.1
1/26/2018,嘉義縣,0
1/26/2018,彰化縣,0
1/26/2018,臺中市,0
1/26/2018,臺北市,0
1/26/2018,臺東縣,0
1/26/2018,臺南市,0
1/26/2018,澎湖縣,0
1/27/2018,宜蘭縣,11.8
1/27/2018,花蓮縣,1
1/27/2018,金門縣,0
1/27/2018,南投縣,0.09
1/27/2018,屏東縣,0
1/27/2018,苗栗縣,0
1/27/2018,桃園市,0
1/27/2018,高雄市,0
1/27/2018,基隆市,4
1/27/2018,連江縣,0.09
1/27/2018,雲林縣,0
1/27/2018,新北市,0
1/27/2018,新竹縣,0
1/27/2018,嘉義縣,0.09
1/27/2018,彰化縣,0
1/27/2018,臺中市,0.09
1/27/2018,臺北市,0
1/27/2018,臺東縣,0.09
1/27/2018,臺南市,0
1/27/2018,澎湖縣,0.4
1/28/2018,宜蘭縣,5.1
1/28/2018,花蓮縣,1
1/28/2018,金門縣,2.2
1/28/2018,南投縣,3.5
1/28/2018,屏東縣,0
1/28/2018,苗栗縣,5.5
1/28/2018,桃園市,13.5
1/28/2018,高雄市,0.09
1/28/2018,基隆市,19.5
1/28/2018,連江縣,11
1/28/2018,雲林縣,4.5
1/28/2018,新北市,11.6
1/28/2018,新竹縣,5
1/28/2018,嘉義縣,0.5
1/28/2018,彰化縣,8
1/28/2018,臺中市,2.5
1/28/2018,臺北市,11.5
1/28/2018,臺東縣,6
1/28/2018,臺南市,0.09
1/28/2018,澎湖縣,1.4
1/29/2018,宜蘭縣,11
1/29/2018,花蓮縣,1.5
1/29/2018,金門縣,8.3
1/29/2018,南投縣,3.5
1/29/2018,屏東縣,2.5
1/29/2018,苗栗縣,10
1/29/2018,桃園市,12.5
1/29/2018,高雄市,0.5
1/29/2018,基隆市,38.5
1/29/2018,連江縣,0.9
1/29/2018,雲林縣,2.5
1/29/2018,新北市,11.5
1/29/2018,新竹縣,6
1/29/2018,嘉義縣,1
1/29/2018,彰化縣,2
1/29/2018,臺中市,1
1/29/2018,臺北市,8.8
1/29/2018,臺東縣,0.09
1/29/2018,臺南市,0.5
1/29/2018,澎湖縣,0.4
1/30/2018,宜蘭縣,46.4
1/30/2018,花蓮縣,1.5
1/30/2018,金門縣,1.7
1/30/2018,南投縣,1
1/30/2018,屏東縣,5
1/30/2018,苗栗縣,2
1/30/2018,桃園市,5.5
1/30/2018,高雄市,0.5
1/30/2018,基隆市,41
1/30/2018,連江縣,1.5
1/30/2018,雲林縣,2.5
1/30/2018,新北市,11.5
1/30/2018,新竹縣,2
1/30/2018,嘉義縣,3.5
1/30/2018,彰化縣,0.5
1/30/2018,臺中市,2
1/30/2018,臺北市,7.7
1/30/2018,臺東縣,0
1/30/2018,臺南市,3.5
1/30/2018,澎湖縣,0
1/31/2018,宜蘭縣,14.1
1/31/2018,花蓮縣,0
1/31/2018,金門縣,5.7
1/31/2018,南投縣,0.09
1/31/2018,屏東縣,0
1/31/2018,苗栗縣,8
1/31/2018,桃園市,32.5
1/31/2018,高雄市,0
1/31/2018,基隆市,42.5
1/31/2018,連江縣,11
1/31/2018,雲林縣,1
1/31/2018,新北市,27.5
1/31/2018,新竹縣,17.5
1/31/2018,嘉義縣,1
1/31/2018,彰化縣,0.5
1/31/2018,臺中市,2.5
1/31/2018,臺北市,17.5
1/31/2018,臺東縣,0.09
1/31/2018,臺南市,1
1/31/2018,澎湖縣,1.7
2/1/2018,宜蘭縣,2.8
2/1/2018,花蓮縣,1
2/1/2018,金門縣,0
2/1/2018,南投縣,7.5
2/1/2018,屏東縣,3
2/1/2018,苗栗縣,5.5
2/1/2018,桃園市,0
2/1/2018,高雄市,1
2/1/2018,基隆市,14.5
2/1/2018,連江縣,0.2
2/1/2018,雲林縣,3
2/1/2018,新北市,5
2/1/2018,新竹縣,4.5
2/1/2018,嘉義縣,3
2/1/2018,彰化縣,2.5
2/1/2018,臺中市,2.5
2/1/2018,臺北市,2.8
2/1/2018,臺東縣,0.09
2/1/2018,臺南市,0.5
2/1/2018,澎湖縣,0.5
2/2/2018,宜蘭縣,2.1
2/2/2018,花蓮縣,0
2/2/2018,金門縣,0.7
2/2/2018,南投縣,1
2/2/2018,屏東縣,0
2/2/2018,苗栗縣,1
